Problem 1 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 86 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 87 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 88 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 89 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 90 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 91 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 92 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 93 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 94 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 95 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 96 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 97 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 98 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 99 Test Results: Total score is 7/7, Reuse score is 0/1
Problem 100 Test Results: Total score is 7/7, Reuse score is 1/1
Final Score: 700/700
Final Reuse Score: 27/100
